image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url,wear_type
female_00088.webp,https://assets.newme.asia/wp-content/uploads/2026/01/2912544040c67be9/NM-IN-56-DRS-25-NOV-22067-NAVYBLUE(0).webp,8336496,Navy Blue Denim Mini Dress,,,Denim,Denim,1049,4.4,Dresses,https://newme.asia/product/navy-blue-denim-mini-dress,upper wear
female_00089.webp,https://assets.newme.asia/wp-content/uploads/2026/05/1406512574b517c1/NM-PRC-9997-DRS-25-NOV-25964-LIGHTGREEN(1).webp,8137734,Light Green Floral Halter Mini Dress,,,Floral,,1599,4.8,Dresses,https://newme.asia/product/light-green-floral-halter-mini-dress,upper wear
female_00090.webp,https://assets.newme.asia/wp-content/uploads/2026/06/1213233115bb5851/NM-IN-54-DRS-26-MAY-33499-BLUE(0).webp,10829588,Blue Floral Sqaure Neck Maxi Dress,"Blue, Pink",,Floral,,849,4.6,Dresses,https://newme.asia/product/blue-floral-sqaure-neck-maxi-dress,upper wear
female_00091.webp,https://assets.newme.asia/wp-content/uploads/2026/01/14125604d1524eb0/NM-IN-56-DRS-25-JUL-20853-BLACK_(1).webp,9074063,Black One Shoulder Ruched Maxi Dress,"Black, Navy Blue, Maroon",,Ruched,,699,4.7,Dresses,https://newme.asia/product/black-one-shoulder-ruched-maxi-dress-11,upper wear
female_00092.webp,https://assets.newme.asia/wp-content/uploads/2025/12/181138370b4415d3/NM-IN-56-DRS-25-NOV-22076-LIGHTGREEN(1).webp,8696597,Light Green Solid Glitter Mini Dress,"Lightgreen, Lightpink",,Solid,,799,4.7,Dresses,https://newme.asia/product/light-green-solid-glitter-mini-dress,upper wear
female_00093.webp,https://assets.newme.asia/wp-content/uploads/2025/09/241343435e4f03ce/NM-IN-56-DRS-25-SEP-21684-BLACK_(1).webp,7734504,Black Geometric Tube Neck Mini Dress,,,,,699,4.5,Dresses,https://newme.asia/product/black-geometric-tube-neck-mini-dress,upper wear
female_00094.webp,https://assets.newme.asia/wp-content/uploads/2025/11/101208510f6023ce/NM-IN-56-DRS-25-MAY-16657-BLACK(1).webp,6662290,Solid Bodycon Slit Dress,,Bodycon,Solid,,599,4.5,Dresses,https://newme.asia/product/solid-bodycon-slit-dress,upper wear
female_00095.webp,https://assets.newme.asia/wp-content/uploads/2025/07/22171435a806d3a4/NM-IN-56-DRS-24-NOV-11051-RED(1).webp,4191004,Red Solid Off Shoulder Bodycon  Micro Mini Dress,,Bodycon,Solid,,1299,4.8,Dresses,https://newme.asia/product/red-solid-off-shoulder-bodycon-mini-dress-2,upper wear
female_00096.webp,https://assets.newme.asia/wp-content/uploads/2026/06/05120844de5a3bec/NM-IN-54-DRS-26-MAY-33480-BROWN(0).webp,10752633,Brown Solid Lace-Insert Mini Dress,,,Solid,,749,4.6,Dresses,https://newme.asia/product/brown-solid-lace-insert-mini-dress,upper wear
female_00097.webp,https://assets.newme.asia/wp-content/uploads/2026/05/30071138cf4f2f04/NM-IN-56-DRS-25-DEC-22334-BLUE(0).webp,10684129,Blue Floral Halter Neck Mini Dress,,,Floral,,949,5.0,Dresses,https://newme.asia/product/blue-floral-halter-neck-mini-dress,upper wear
