image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url
00077.webp,https://d2wbq7o4qxi60y.cloudfront.net/9224471281826/1-800.webp,9224471281826,100% Cotton Slim Fit Shirt,['White'],Slim Fit,Checks,Cotton,1499.0,4.4,Shirts,https://www.snitch.com/men-shirts/100-cotton-slim-fit-micro-check-shirt-4sfs021-01/9224471281826/buy
00078.webp,https://d2wbq7o4qxi60y.cloudfront.net/9215839797410/1-800.webp,9215839797410,White Cotton Linen Shirt,['White'],Regular Fit,Plain,Linen Blend,1799.0,4.7,Shirts,https://www.snitch.com/men-shirts/linen-blend-regular-fit-shirt-4shs005-01/9215839797410/buy
00079.webp,https://d2wbq7o4qxi60y.cloudfront.net/9238486188194/1-800.webp,9238486188194,Box Fit 100% Viscose Floral Shirt,['White'],Box Fit,Floral,Viscose,1099.0,4.4,Shirts,https://www.snitch.com/men-shirts/box-fit-100-viscose-floral-shirt-mp-4shs073-01/9238486188194/buy
00080.webp,https://d2wbq7o4qxi60y.cloudfront.net/9224474394786/1-800.webp,9224474394786,100% Cotton Slim Fit Shirt,['Grey'],Slim Fit,Plain,Cotton,1499.0,4.4,Shirts,https://www.snitch.com/men-shirts/100-cotton-slim-fit-micro-check-shirt-4sfs021-02/9224474394786/buy
00081.webp,https://d2wbq7o4qxi60y.cloudfront.net/8745561522338/1-800.webp,8745561522338,Tie & Dye Denim Shirt,['Blue'],Regular Fit,Tie & Dye,Cotton,1399.0,4.4,Shirts,https://www.snitch.com/men-shirts/regular-fit-tie-dye-100-cotton-shirt-4mss4293-01/8745561522338/buy
00082.webp,https://d2wbq7o4qxi60y.cloudfront.net/9224471838882/1-800.webp,9224471838882,Regular Fit 100% Cotton Shirt,['Navy'],Regular Fit,Plain,Cotton,1299.0,4.4,Shirts,https://www.snitch.com/men-shirts/regular-fit-100-cotton-shirt-4sfs011-06/9224471838882/buy
00083.webp,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_223da0bb-60bf-4c83-be3f-2d3b3be0635d.jpg?v=1781196945,9248429834402,100% Cotton Slim Fit Shirt,['Pink'],Slim Fit,Plain,Cotton,1099.0,4.3,Shirts,https://www.snitch.com/men-shirts/slim-fit-100-cotton-shirt-mp-4sfs072-03/9248429834402/buy
00084.webp,https://d2wbq7o4qxi60y.cloudfront.net/9224474624162/1-800.webp,9224474624162,Slim Fit Seersucker Mandarin Shirt,['Navy'],Slim Fit,Textured,Cotton,1199.0,4.2,Shirts,https://www.snitch.com/men-shirts/mandarin-collar-seersucker-slim-fit-100-cotton-shirt-4sfs015-05/9224474624162/buy
00085.webp,https://d2wbq7o4qxi60y.cloudfront.net/9245319364770/1-800.webp,9245319364770,100% Linen Relaxed Fit Luxe Shirt,['White'],Relaxed Fit,Plain,Linen,2624.0,4.4,Shirts,https://www.snitch.com/men-shirts/linen-snitch-luxe-relaxed-fit-100-linen-shirt-4lshs003-02/9245319364770/buy
00086.webp,https://d2wbq7o4qxi60y.cloudfront.net/9215839731874/1-800.webp,9215839731874,Regular Fit 100% Cotton Luxe Shirt,['Black'],Regular Fit,Plain,Cotton,1499.0,4.3,Shirts,https://www.snitch.com/men-shirts/regular-fit-100-cotton-shirt-4lsfs017-04/9215839731874/buy
